id,name,categoryName,price,priceText,unit,points,status,source
strawberry-white-pink-12,"Клубника в белом и розовом шоколаде, 12 шт.",Клубника в шоколаде,2400,от 2 400 ₽,12 шт. / около 300 г,rzhavki;dybenko,,"Публичное меню: Яндекс/Yango Deli, Flowwow — цены сверить"
strawberry-milk-white-16,"Клубника в молочном и белом шоколаде, 16 шт.",Наборы в коробке,2900,от 2 900 ₽,16 шт. / около 400 г,rzhavki;dybenko,,Публичное меню: Яндекс/Yango Deli — цены сверить
classic-20,"Классический набор без посыпок, 20 шт.",Наборы в коробке,3670,от 3 670 ₽,20 шт. / около 500 г,rzhavki;dybenko,,Публичное меню: Яндекс/Yango Deli / Flowwow — цены сверить
milk-no-topping-25,"Молочный шоколад без посыпок, 20–25 шт.",Наборы в коробке,4500,от 4 500 ₽,20–25 шт. / около 625 г,rzhavki;dybenko,,Публичное меню: Яндекс/Yango Deli — цены сверить
mama-16,"Клубника в шоколаде «Маме», 16 шт.",Подарочные наборы,3766,от 3 766 ₽,16 шт. / около 700 г,rzhavki,,Публичное меню / Flowwow — цены сверить
pink-milk-bouquet-18,Букет Pink Milk №18,Подарочные наборы,4777,от 4 777 ₽,около 396 г,dybenko,,Публичное меню: Дыбенко / Flowwow — цены сверить
dubai-chocolate-130,Дубайский шоколад плиткой,Дубайский шоколад,999,от 999 ₽,120–130 г,rzhavki;dybenko,,Публичное меню: Яндекс/Yango Deli — цены сверить
dubai-dates-set,Набор с дубайским шоколадом и финиками,Дубайский шоколад,3640,от 3 640 ₽,около 370 г,rzhavki;dybenko,,Публичное меню: Яндекс/Yango Deli / Flowwow — цены сверить
dates-strawberry-300,Клубника с финиками в шоколаде,Финики / банан / ягоды,1990,от 1 990 ₽,около 300 г,rzhavki;dybenko,,Публичное меню: Яндекс/Yango Deli — цены сверить
banana-milk-choco,Банан в молочном шоколаде,Дополнительно к заказу,299,от 299 ₽,около 120 г,rzhavki;dybenko,,Публичное меню: Яндекс/Yango Deli — цены сверить
blueberry-chocolate-140,Голубика в шоколаде,Дополнительно к заказу,990,от 990 ₽,около 140 г,rzhavki;dybenko,,Публичное меню: Яндекс/Yango Deli — цены сверить
card-topper,Открытка / топпер к заказу,Дополнительно к заказу,0,уточнить,1 шт.,rzhavki;dybenko,,Добавлено как placeholder для MVP
strawberry-mojito-300,Клубничный мохито,Напитки,377,от 377 ₽,300 мл,rzhavki;dybenko,,Публичное меню: Яндекс/Yango Deli — цены сверить
smoothie-banana-strawberry-orange,Смузи банан-клубника-апельсин,Напитки,617,от 617 ₽,400 мл,rzhavki;dybenko,,Публичное меню: Яндекс/Yango Deli — цены сверить
strawberry-milk-12,"Клубника в молочном шоколаде, 12 шт.",Клубника в шоколаде,2599,от 2 599 ₽,12 шт. / около 300 г,dybenko;rzhavki,требует подтверждения,"Черновик из публичных источников, требует подтверждения владельцем"
strawberry-milk-white-20,"Клубника в молочном и белом шоколаде, 20 шт.",Клубника в шоколаде,3670,от 3 670 ₽,20 шт. / около 500 г,dybenko;rzhavki,требует подтверждения,"Черновик из публичных источников, требует подтверждения владельцем"
strawberry-cup-160,Клубника в шоколаде — стаканчик,Клубника в шоколаде,837,от 837 ₽,около 160 г,rzhavki,требует подтверждения,"Черновик из публичных источников, требует подтверждения владельцем"
box-25-flowwow,Коробочный набор 25 клубник,Наборы в коробке,4205,от 4 205 ₽,25 шт.,dybenko;rzhavki,требует подтверждения,"Черновик из публичных источников, требует подтверждения владельцем"
strawberry-blueberry-drops,Клубника с голубикой и дольками,Финики / банан / ягоды,2990,от 2 990 ₽,около 320 г,rzhavki,требует подтверждения,"Черновик из публичных источников, требует подтверждения владельцем"
custom-set,Индивидуальный набор,Подарочные наборы,0,по согласованию,по согласованию,dybenko;rzhavki,требует подтверждения,"Черновик из публичных источников, требует подтверждения владельцем"
candle-extra,Свеча к подарку,Дополнительно к заказу,250,от 250 ₽,1 шт.,dybenko;rzhavki,требует подтверждения,"Черновик из публичных источников, требует подтверждения владельцем"
postcard-extra,Открытка с текстом,Дополнительно к заказу,150,от 150 ₽,1 шт.,dybenko;rzhavki,требует подтверждения,"Черновик из публичных источников, требует подтверждения владельцем"
