id,name,category,price,unit,point,description,source,needsConfirmation,photoHint
rzhavki-klubnika-v-belom-i-rozovom-shokolade,Клубника в белом и розовом шоколаде,Клубника и наборы,2400,300 г,rzhavki,"Клубника в белом и розовом шоколаде с кокосовой стружкой и шариками. Коробка 19,5×12 см, 12 шт.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-klubnika-v-belom-i-rozovom-shokolade.jpg
rzhavki-klubnika-v-belom-i-rozovom-shokolade-s-posypkami,Клубника в белом и розовом шоколаде с посыпками,Клубника и наборы,6690,1 кг,rzhavki,"Клубника в белом и розовом шоколаде с разными посыпками, орешками, кокосовой стружкой и шоколадными цветочками. Большая коробка 35×25 см.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-klubnika-v-belom-i-rozovom-shokolade-s-posypkami.jpg
rzhavki-klubnika-v-molochnom-i-belom-shokolade,Клубника в молочном и белом шоколаде,Клубника и наборы,2900,400 г,rzhavki,"Набор из клубники в молочном и белом шоколаде с шариками, золотым сахаром и кокосовой стружкой. 16 шт.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-klubnika-v-molochnom-i-belom-shokolade.jpg
rzhavki-klubnika-v-shokolade-mame-podarochnyy-nabor,"Клубника в шоколаде «Маме», подарочный набор",Подарочные наборы,3766,700 г / 16 шт.,rzhavki,Коробочный набор для мамы: крупная клубника в молочном шоколаде с декоративной посыпкой и шоколадной табличкой.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-klubnika-v-shokolade-mame-podarochnyy-nabor.jpg
rzhavki-klubnika-v-shokolade-v-klassicheskom-variante-bez-posypok,Клубника в шоколаде в классическом варианте без посыпок,Клубника и наборы,3670,500 г,rzhavki,"Клубника в белом, молочном и тёмном шоколаде с мини-шоколадками. Коробка 20×20 см, 20 шт.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-klubnika-v-shokolade-v-klassicheskom-variante-bez-posypok.jpg
rzhavki-klubnika-v-shokolade-molochnom-bez-posypok,Клубника в шоколаде молочном без посыпок,Клубника и наборы,4500,625 г / 25 шт.,rzhavki,Набор клубники в молочном шоколаде без посыпок. Коробка 22×22 см.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-klubnika-v-shokolade-molochnom-bez-posypok.jpg
rzhavki-klubnika-s-finikami-v-molochnom-shokolade,Клубника с финиками в молочном шоколаде,Клубника и наборы,2500,300 г,rzhavki,Клубника в молочном шоколаде и финики с грецким орехом и сыром дорблю.,"Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-klubnika-s-finikami-v-molochnom-shokolade.jpg
rzhavki-lyubimomu-uchitelyu,Любимому учителю,Подарочные наборы,2800,400 г / 16 шт.,rzhavki,"Клубника в белом, розовом шоколаде с сублимированной малиной и молочном шоколаде. Коробка 22×22 см.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-lyubimomu-uchitelyu.jpg
rzhavki-lyublyu,Люблю,Подарочные наборы,3369,400 г,rzhavki,"Набор из 16 клубник в коробке: молочный и белый шоколад, натуральная клубника, аккуратный подарочный вид.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-lyublyu.jpg
rzhavki-nabor-klubniki-v-shokolade-s-golubikoy-i-dolkami,Набор клубники в шоколаде с голубикой и дольками,Клубника и наборы,2990,320 г,rzhavki,"Сочетание свежей клубники и голубики, сублимированной малины и молочного шоколада.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-nabor-klubniki-v-shokolade-s-golubikoy-i-dolkami.jpg
rzhavki-nabor-s-dubayskim-shokoladom-i-finikami,Набор с дубайским шоколадом и финиками,Дубайский шоколад,3640,370 г,rzhavki,"Подарочный набор с молочным шоколадом, сыром дорблю, грецким орехом, клубникой, катаифи и фисташковой пастой.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-nabor-s-dubayskim-shokoladom-i-finikami.jpg
rzhavki-nabor-s-finikami,Набор с финиками,Клубника и наборы,2860,300 г,rzhavki,"Набор с молочным шоколадом, грецким орехом, сыром дорблю и клубникой.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-nabor-s-finikami.jpg
rzhavki-podarok-na-14-fevralya-dubayskiy-shokolad,Подарок на 14 февраля Дубайский шоколад,Дубайский шоколад,2490,200 г,rzhavki,"Подарочный набор с молочным шоколадом, тестом катаифи и фисташковой пастой.","Yandex/Yango Deli public menu: Deli_berry, Ржавки, 2-й микрорайон, с20, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/rzhavki-podarok-na-14-fevralya-dubayskiy-shokolad.jpg
