product_id,product_name,photo_file,comment
rzhavki-klubnika-v-belom-i-rozovom-shokolade,Клубника в белом и розовом шоколаде,,
rzhavki-klubnika-v-belom-i-rozovom-shokolade-s-posypkami,Клубника в белом и розовом шоколаде с посыпками,,
rzhavki-klubnika-v-molochnom-i-belom-shokolade,Клубника в молочном и белом шоколаде,,
rzhavki-klubnika-v-shokolade-mame-podarochnyy-nabor,Клубника в шоколаде «Маме»  подарочный набор,,
rzhavki-klubnika-v-shokolade-v-klassicheskom-variante-bez-posypok,Клубника в шоколаде в классическом варианте без посыпок,,
rzhavki-klubnika-v-shokolade-molochnom-bez-posypok,Клубника в шоколаде молочном без посыпок,,
rzhavki-klubnika-s-finikami-v-molochnom-shokolade,Клубника с финиками в молочном шоколаде,,
rzhavki-lyubimomu-uchitelyu,Любимому учителю,,
rzhavki-lyublyu,Люблю,,
rzhavki-nabor-klubniki-v-shokolade-s-golubikoy-i-dolkami,Набор клубники в шоколаде с голубикой и дольками,,
rzhavki-nabor-s-dubayskim-shokoladom-i-finikami,Набор с дубайским шоколадом и финиками,,
rzhavki-nabor-s-finikami,Набор с финиками,,
rzhavki-podarok-na-14-fevralya-dubayskiy-shokolad,Подарок на 14 февраля Дубайский шоколад,,
rzhavki-milksheyk-chernika-klubnika-s-plombirom,Милкшейк Черника  Клубника с пломбиром,,
rzhavki-smuzi-banan-klubnika-apelsin,Смузи Банан-клубника-апельсин,,
rzhavki-smuzi-zelenyy,Смузи Зелёный,,
rzhavki-smuzi-inzhir-greckie-orehi-na-mindalnom-moloke,Смузи Инжир  грецкие орехи на миндальном молоке,,
rzhavki-smuzi-klubnika-banan-kivi,Смузи Клубника–Банан–Киви,,
rzhavki-smuzi-chernika-klubnika-yabloko,Смузи Черника-клубника-яблоко,,
rzhavki-smuzi-yagodnyy-na-kokosovom-moloke-bez-laktozy,Смузи Ягодный на кокосовом молоке без лактозы,,
rzhavki-fresh-morkov-yabloko-500-ml,Фреш Морковь-яблоко 500 мл,,
rzhavki-fresh-apelsinovyy-500-ml,Фреш апельсиновый 500 мл,,
rzhavki-fresh-greypfrutovyy-500-ml,Фреш грейпфрутовый 500 мл,,
rzhavki-fresh-morkovnyy-500-ml,Фреш морковный 500 мл,,
rzhavki-fresh-citrusovyy-briz-500-ml,Фреш цитрусовый бриз 500 мл,,
rzhavki-fresh-yablochnyy-500-ml,Фреш яблочный 500 мл,,
rzhavki-bubble-tea-bao-jiang-klubnika,Bubble tea BAO JIANG Клубника,,
rzhavki-klassicheskiy-limonad,Классический лимонад,,
rzhavki-klubnichnyy-mohito,Клубничный мохито,,
rzhavki-kokosovyy-smuzi-klubnika-banan-s-plombirom,Кокосовый смузи Клубника  Банан с пломбиром,,
rzhavki-kofe-ice-latte,Кофе Ice Latte,,
rzhavki-limonad-brazilian-blyu,Лимонад Бразилиан блю,,
rzhavki-limonad-kivi,Лимонад Киви,,
rzhavki-mohito-osvezhayuschiy,Мохито освежающий,,
rzhavki-mohito-klassicheskoe-bezalkogolnoe,Мохито классическое безалкогольное,,
rzhavki-feastables-shokolad-mr-beast-molochnyy,Feastables шоколад Mr. Beast молочный,,
rzhavki-kinder-joy-minecraft,Kinder Joy Minecraft,,
rzhavki-dubayskiy-shokolad-2-serdca,Дубайский шоколад 2 сердца,,
rzhavki-dubayskiy-shokolad-plitkoy,Дубайский шоколад плиткой,,
rzhavki-kinder-joy-stranger-things,Kinder Joy Stranger Things,,
