Точка;Категория;Товар;Объёмы и цены;Опции;Файл изображения;Источник;Статус фото
Зеленопарк;Газированные напитки;Классический лимонад;"300 мл: 190 ₽; 400 мл: 210 ₽; 500 мл: 250 ₽";;/assets/products/menu-items/gp-soda-classic-lemonade.png;Зеленопарк: напитки / милкшейки / бабл-ти;Отдельный точечный crop из меню
Зеленопарк;Газированные напитки;Мохито;"300 мл: 250 ₽; 400 мл: 280 ₽; 500 мл: 310 ₽";;/assets/products/menu-items/gp-soda-mojito.png;Зеленопарк: напитки / милкшейки / бабл-ти;Отдельный точечный crop из меню
Зеленопарк;Газированные напитки;Клубничный мохито;"300 мл: 290 ₽; 400 мл: 340 ₽; 500 мл: 370 ₽";;/assets/products/menu-items/gp-soda-strawberry-mojito.png;Зеленопарк: напитки / милкшейки / бабл-ти;Отдельный точечный crop из меню
Зеленопарк;Газированные напитки;Brazilian Blue лимонад;"300 мл: 290 ₽; 400 мл: 340 ₽; 500 мл: 370 ₽";;/assets/products/menu-items/gp-soda-brazilian-blue.png;Зеленопарк: напитки / милкшейки / бабл-ти;Отдельный точечный crop из меню
Зеленопарк;Газированные напитки;Лимонад киви;"300 мл: 290 ₽; 400 мл: 340 ₽; 500 мл: 370 ₽";;/assets/products/menu-items/gp-soda-kiwi-lemonade.png;Зеленопарк: напитки / милкшейки / бабл-ти;Отдельный точечный crop из меню
Зеленопарк;Газированные напитки;Матча тоник;"300 мл: 290 ₽; 400 мл: 340 ₽; 500 мл: 370 ₽";;/assets/products/menu-items/gp-soda-matcha-tonic.png;Зеленопарк: напитки / милкшейки / бабл-ти;Отдельный точечный crop из меню
Зеленопарк;Бабл ти;Классик;"360 мл: 330 ₽; 650 мл: 490 ₽";;/assets/products/menu-items/gp-bubble-classic.png;Зеленопарк: напитки / милкшейки / бабл-ти;Отдельный точечный crop из меню
Зеленопарк;Бабл ти;Таро клауд;"360 мл: 390 ₽; 650 мл: 550 ₽";;/assets/products/menu-items/gp-bubble-taro-cloud.png;Зеленопарк: напитки / милкшейки / бабл-ти;Отдельный точечный crop из меню
Зеленопарк;Бабл ти;Какао крим;"360 мл: 390 ₽; 650 мл: 550 ₽";;/assets/products/menu-items/gp-bubble-cacao-cream.png;Зеленопарк: напитки / милкшейки / бабл-ти;Отдельный точечный crop из меню
Зеленопарк;Бабл ти;Манго-клубника;"360 мл: 390 ₽; 650 мл: 490 ₽";;/assets/products/menu-items/gp-bubble-mango-strawberry.png;Зеленопарк: напитки / милкшейки / бабл-ти;Отдельный точечный crop из меню
Зеленопарк;Бабл ти;Вайлдберриз;"360 мл: 330 ₽; 650 мл: 490 ₽";;/assets/products/menu-items/gp-bubble-wildberries.png;Зеленопарк: напитки / милкшейки / бабл-ти;Отдельный точечный crop из меню
Зеленопарк;Бабл ти;Марокко;"360 мл: 290 ₽; 650 мл: 410 ₽";;/assets/products/menu-items/gp-bubble-marocco.png;Зеленопарк: напитки / милкшейки / бабл-ти;Отдельный точечный crop из меню
Зеленопарк;Молочные коктейли;Молочный коктейль;"300 мл: 380 ₽; 400 мл: 450 ₽; 500 мл: 490 ₽";Выберите вкус: Вишня, Банан, Ваниль, Малина, Бабл-гам, Клубника, Лесные ягоды, Миндаль, Шоколад, Лесной орех, Кедровый орех, Шоколадное печенье, Шоколадный батончик, Мята, Кокос, Фиалка, Карамель, Фисташка, Солёная карамель;/assets/products/menu-items/gp-milkshake.png;Зеленопарк: напитки / милкшейки / бабл-ти;Отдельный точечный crop из меню
Зеленопарк;Смузи;Смузи №1;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/gp-smoothie-1.png;Зеленопарк: смузи;Отдельный точечный crop из меню
Зеленопарк;Смузи;Смузи №2;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/gp-smoothie-2.png;Зеленопарк: смузи;Отдельный точечный crop из меню
Зеленопарк;Смузи;Смузи №3;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/gp-smoothie-3.png;Зеленопарк: смузи;Отдельный точечный crop из меню
Зеленопарк;Смузи;Смузи №4;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/gp-smoothie-4.png;Зеленопарк: смузи;Отдельный точечный crop из меню
Зеленопарк;Смузи;Смузи №5;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/gp-smoothie-5.png;Зеленопарк: смузи;Отдельный точечный crop из меню
Зеленопарк;Смузи;Смузи №6;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/gp-smoothie-6.png;Зеленопарк: смузи;Отдельный точечный crop из меню
Зеленопарк;Смузи;Смузи №7;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/gp-smoothie-7.png;Зеленопарк: смузи;Отдельный точечный crop из меню
Зеленопарк;Смузи;Смузи №8;"300 мл: 490 ₽; 400 мл: 550 ₽; 500 мл: 610 ₽";;/assets/products/menu-items/gp-smoothie-8.png;Зеленопарк: смузи;Отдельный точечный crop из меню
Зеленопарк;Добавки;Тапиока;120 ₽;;/assets/products/menu-items/gp-addon-tapioca.png;Зеленопарк: напитки / милкшейки / бабл-ти;"Отдельный файл добавки; визуал взят из ближайшего объекта исходного меню"
Зеленопарк;Добавки;Джусболлы;70 ₽;Выберите вкус: Клубника, Черника, Манго, Яблоко;/assets/products/menu-items/gp-addon-juiceballs.png;Зеленопарк: напитки / милкшейки / бабл-ти;"Отдельный файл добавки; визуал взят из ближайшего объекта исходного меню"
Дыбенко;Газированные напитки;Классический лимонад;"300 мл: 190 ₽; 400 мл: 210 ₽; 500 мл: 250 ₽";;/assets/products/menu-items/dy-soda-classic-lemonade.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Газированные напитки;Мохито;"300 мл: 250 ₽; 400 мл: 280 ₽; 500 мл: 310 ₽";;/assets/products/menu-items/dy-soda-mojito.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Газированные напитки;Клубничный мохито;"300 мл: 290 ₽; 400 мл: 340 ₽; 500 мл: 370 ₽";;/assets/products/menu-items/dy-soda-strawberry-mojito.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
Дыбенко;Газированные напитки;Brazilian Blue лимонад;"300 мл: 290 ₽; 400 мл: 340 ₽; 500 мл: 370 ₽";;/assets/products/menu-items/dy-soda-brazilian-blue.png;Дыбенко: напитки / милкшейки / смузи / бабл-ти;Отдельный точечный crop из меню
